firstName,lastName,studentId,email,accessGroups
Emely,Mckay,19278815,emely.mckay@gmail.com,['HISTORY']
Tate,Morell,91329842,tate.morell@gmail.com,[]
Aleksandra,Monson,18637000,aleksandra.monson@gmail.com,['MATH']
Arial,Mcsweeney,64068128,arial.mcsweeney@gmail.com,"['HISTORY', 'GENERAL', 'MATH']"
Lochlan,Darling,99650070,lochlan.darling@gmail.com,"['GYM', 'MATH', 'HISTORY']"
Ilaria,Morman,42251335,ilaria.morman@gmail.com,['GENERAL']
Lyllian,Staab,83716080,lyllian.staab@gmail.com,['HISTORY']
Mischa,Lafrance,71659671,mischa.lafrance@gmail.com,"['MATH', 'GENERAL']"
Ronald,Rivers,77831829,ronald.rivers@gmail.com,['GENERAL']
Ezekial,Danley,29112771,ezekial.danley@gmail.com,"['HISTORY', 'SCIENCE', 'MATH']"
Karmen,Zarate,39097344,karmen.zarate@gmail.com,"['GYM', 'HISTORY']"
Gwendolen,Julius,99926302,gwendolen.julius@gmail.com,"['GYM', 'MATH', 'SCIENCE']"
Mattox,Ryals,88348115,mattox.ryals@gmail.com,"['GYM', 'MATH', 'SCIENCE']"
Ameer,Bernstein,98318169,ameer.bernstein@gmail.com,"['GYM', 'SCIENCE', 'HISTORY', 'GENERAL']"
Aayan,Waterman,36989264,aayan.waterman@gmail.com,"['SCIENCE', 'GENERAL', 'GYM', 'HISTORY', 'MATH']"
Haider,Leiva,12428801,haider.leiva@gmail.com,['SCIENCE']
Nadiya,Orona,76170913,nadiya.orona@gmail.com,"['GYM', 'GENERAL']"
Teodoro,Peer,27109290,teodoro.peer@gmail.com,[]
Aislinn,Brewster,69983080,aislinn.brewster@gmail.com,"['HISTORY', 'GYM', 'GENERAL', 'SCIENCE', 'MATH']"
Carrie,Mancini,31063046,carrie.mancini@gmail.com,['GYM']
Nori,Vest,92470289,nori.vest@gmail.com,"['GYM', 'GENERAL', 'SCIENCE', 'HISTORY', 'MATH']"
